Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
1797,Active,Defined Contribution,Provident Fund,Segregated funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130," 23,173,191.00 ",8.05%,197%,0,7%,0%,0,6%,9%,101.88,0,97," 20,951,934.00 ",1.69%,302%,0,11%,0%,0,5%,10%,103.37,0,98," 17,716,496.00 ",1.81%,1203%,0,11%,0%,0,7%,10%,101.78,0,98," 13,580,119.00 ",2.09%,556%,0,9%,0%,0,7%,13%,103.78,0,109," 10,550,034.00 ",2.62%,804%,0,11%,0%,0,7%,10%,101.78
1798,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,0," 193,569,756.00 ",0.36%,368%,2.63,11%,0%,1,5%,11%,134.8,1,190," 171,681,839.00 ",0.31%,55%,2.19,10%,0%,5,7%,13%,151.77,1,199," 190,383,672.00 ",0.28%,303%,2.4,6%,0%,5,9%,9%,121.95,1,204," 176,869,360.00 ",0.23%,234%,2.67,8%,0%,5,6%,7%,111.93,0,193," 163,507,560.00 ",0.26%,80%,0,8%,0%,0,5%,7%,109.51,0,252," 169,098,744.00 ",0.24%,425%,0,9%,0%,0,5%,9%,102.55,0,281," 149,756,251.00 ",0.25%,1086%,0,8%,0%,0,6%,9%,101.88,0,267," 128,529,209.00 ",0.25%,936%,0,9%,0%,0,5%,10%,103.37,0,313," 108,653,495.00 ",0.28%,309%,0,8%,0%,0,7%,10%,101.78,0,324," 94,892,515.00 ",0.36%,282%,0,7%,0%,0,7%,13%,103.78,0,387," 84,790,757.00 ",0.42%,658%,0,10%,0%,0,7%,10%,101.78
1799,Active,Defined Contribution,Pension Scheme,Segregated funds,1,681," 1,126,011,821.00 ",1.19%,629%,2.89,21%,0%,1,5%,11%,134.8,1,609," 799,067,531.00 ",1.34%,459%,2.94,-2%,0%,1,7%,13%,151.77,5,497," 701,205,162.00 ",1.51%,268%,3.05,0%,0%,1,9%,9%,121.95,5,368," 647,711,298.00 ",1.90%,311%,3,10%,0%,1,6%,7%,111.93,0,356," 515,581,335.00 ",1.22%,175%,0,6%,0%,0,5%,7%,109.51,0,356," 476,299,049.00 ",1.60%,1085%,0,14%,0%,0,5%,9%,102.55,0,348," 357,640,684.00 ",1.65%,761%,0,5%,0%,0,6%,9%,101.88,0,237," 291,815,177.00 ",1.48%,430%,0,14%,0%,0,5%,10%,103.37,0,239," 229,111,853.00 ",1.28%,476%,0,8%,0%,0,7%,10%,101.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,13%,103.78,0,178," 163,388,251.00 ",1.15%,749%,0,11%,0%,0,7%,10%,101.78
180,Active,Defined Contribution,Pension Scheme,Guaranteed funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96," 236,761,082.00 ",0.27%,289%,0,9%,0%,0,5%,10%,103.37,0,117," 211,527,714.00 ",0.57%,126%,0,7%,0%,0,7%,10%,101.78,0,98," 203,810,144.00 ",1.11%,143%,0,1%,0%,0,7%,13%,103.78,0,118," 194,944,481.00 ",1.19%,361%,0,12%,0%,0,7%,10%,101.78
1801,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,217," 137,536,898.00 ",0.88%,108%,2.37,11%,0%,1,5%,11%,134.8,1,0," 135,602,474.00 ",0.86%,385%,2.92,9%,0%,5,7%,13%,151.77,1,197," 118,063,525.00 ",1.03%,79%,2.5,6%,0%,5,9%,9%,121.95,1,116," 122,433,830.00 ",0.82%,209%,2.72,9%,0%,5,6%,7%,111.93,0,0," 111,658,432.00 ",0.86%,427%,0,7%,0%,0,5%,7%,109.51,0,90," 96,817,099.00 ",0.79%,523%,0,9%,0%,0,5%,9%,102.55,0,122," 81,838,191.00 ",0.99%,308%,0,8%,0%,0,6%,9%,101.88,0,129," 71,237,780.00 ",0.73%,181%,0,9%,0%,0,5%,10%,103.37,0,165," 64,712,234.00 ",0.75%,974%,0,8%,0%,0,7%,10%,101.78,0,113," 52,069,562.00 ",0.89%,660%,0,7%,0%,0,7%,13%,103.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1802,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,146," 150,438,084.00 ",0.64%,1219%,2.86,10%,0%,1,5%,11%,134.8,1,148," 127,760,964.00 ",0.64%,411%,2.3,9%,0%,5,7%,13%,151.77,5,139," 218,137,780.00 ",0.37%,11412%,3.06,53%,1%,5,9%,9%,121.95,5,138," 92,313,261.00 ",0.79%,257%,3.26,8%,6%,5,6%,7%,111.93,0,121," 82,407,094.00 ",0.79%,136%,0,7%,7%,0,5%,7%,109.51,0,39," 78,556,865.00 ",0.74%,911%,0,8%,2%,0,5%,9%,102.55,0,37," 65,843,038.00 ",0.80%,134%,0,7%,5%,0,6%,9%,101.88,0,48," 63,339,443.00 ",0.79%,152%,0,8%,1%,0,5%,10%,103.37,0,42," 59,732,011.00 ",0.87%,113%,0,13%,2%,0,7%,10%,101.78,0,43," 58,042,395.00 ",0.79%,520%,0,7%,0%,0,7%,13%,103.78,0,43," 50,231,563.00 ",0.79%,910%,0,10%,0%,0,7%,10%,101.78
1803,Active,Defined Contribution,Pension Scheme,Segregated funds,1,291," 123,493,920.00 ",0.91%,926%,3.44,11%,0%,1,5%,11%,134.8,1,285," 95,571,852.00 ",1.33%,116%,3.44,4%,0%,1,7%,13%,151.77,1,0," 92,507,979.00 ",1.41%,128%,2.56,5%,0%,1,9%,9%,121.95,1,297," 88,103,867.00 ",0.91%,154%,2.74,10%,0%,1,6%,7%,111.93,0,244," 81,697,352.00 ",0.76%,112%,0,8%,0%,0,5%,7%,109.51,0,248," 79,519,608.00 ",1.26%,166%,0,10%,0%,0,5%,9%,102.55,0,284," 71,273,350.00 ",1.32%,135%,0,7%,0%,0,6%,9%,101.88,0,863," 48,541,926.00 ",1.08%,31%,0,10%,0%,0,5%,10%,103.37,0,308," 65,965,875.00 ",0.74%,123%,0,7%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,863," 48,541,926.00 ",1.08%,31%,0,10%,0%,0,7%,10%,101.78
1804,Active,Defined Contribution,Provident Fund,Segregated funds,5,643," 819,131,407.00 ",2.05%,336%,3.98,15%,0%,1,5%,11%,134.8,5,620," 692,619,436.00 ",2.47%,117%,4.01,9%,0%,1,7%,13%,151.77,5,557," 676,088,846.00 ",2.72%,80%,3.76,7%,0%,1,9%,9%,121.95,5,521," 698,107,937.00 ",1.86%,146%,4,10%,0%,1,6%,7%,111.93,0,517," 660,915,419.00 ",2.16%,54%,0,9%,0%,0,5%,7%,109.51,0,539," 761,068,625.00 ",2.36%,285%,0,12%,1%,0,5%,9%,102.55,0,534," 663,895,990.00 ",2.21%,343%,0,8%,0%,0,6%,9%,101.88,0,515," 587,820,054.00 ",2.27%,319%,0,14%,0%,0,5%,10%,103.37,0,474," 496,077,137.00 ",2.42%,186%,0,9%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,414," 434,073,318.00 ",2.47%,285%,0,12%,0%,0,7%,10%,101.78
1805,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,88," 77,853,488.00 ",0.52%,801%,3.07,11%,0%,1,5%,11%,134.8,1,0," 68,130,056.00 ",0.71%,570%,2.56,9%,0%,5,7%,13%,151.77,5,88," 60,679,473.00 ",0.43%,221%,3.23,6%,0%,5,9%,9%,121.95,5,88," 56,912,326.00 ",0.50%,220%,3.44,8%,0%,5,6%,7%,111.93,0,88," 52,441,596.00 ",0.58%,73%,0,8%,0%,0,5%,7%,109.51,0,107," 55,430,278.00 ",0.73%,171%,0,9%,0%,0,5%,9%,102.55,0,104," 51,082,390.00 ",0.76%,107%,0,9%,0%,0,6%,9%,101.88,0,94," 50,502,846.00 ",0.75%,323%,0,9%,0%,0,5%,10%,103.37,0,107," 43,777,465.00 ",0.90%,475%,0,8%,0%,0,7%,10%,101.78,0,101," 36,550,555.00 ",0.99%,155%,0,7%,0%,0,7%,13%,103.78,0,90," 23,937,756.00 ",2.07%,397%,0,10%,0%,0,7%,10%,101.78
1806,Active,Defined Contribution,Pension Scheme,Segregated funds,1,3547," 24,192,333,000.00 ",0.44%,373%,2.96,16%,0%,1,5%,11%,134.8,1,3602," 20,317,198,000.00 ",0.49%,191%,2.22,6%,0%,1,7%,13%,151.77,5,3580," 19,049,279,000.00 ",0.48%,93%,3.2,1%,0%,1,9%,9%,121.95,5,3596," 19,158,393,000.00 ",0.46%,147%,3.56,12%,0%,1,6%,7%,111.93,0,3717," 18,031,112,000.00 ",0.44%,272%,0,6%,0%,0,5%,7%,109.51,0,3835," 16,495,392,000.00 ",0.46%,369%,0,14%,0%,0,5%,9%,102.55,0,3870," 13,864,767,000.00 ",0.53%,95%,0,4%,0%,0,6%,9%,101.88,0,4017," 13,965,190,000.00 ",1.18%,139%,0,15%,0%,0,5%,10%,103.37,0,4100," 13,027,919,000.00 ",0.53%,228%,0,8%,0%,0,7%,10%,101.78,0,4058," 11,840,663,000.00 ",0.52%,161%,0,2%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1807,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,12," 20,371,937.00 ",0.42%,1942%,2.59,11%,0%,1,5%,11%,134.8,1,12," 17,278,119.00 ",0.46%,287%,2.48,6%,0%,5,7%,13%,151.77,1,11," 15,912,404.00 ",0.69%,1287%,2.48,8%,0%,5,9%,9%,121.95,1,12," 13,851,152.00 ",0.72%,126%,3.44,9%,0%,5,6%,7%,111.93,0,12," 13,327,556.00 ",0.56%,1303%,0,6%,0%,0,5%,7%,109.51,0,12," 12,115,332.00 ",0.63%,111%,0,9%,0%,0,5%,9%,102.55,0,13," 11,874,796.00 ",0.59%,1250%,0,5%,0%,0,6%,9%,101.88,0,12," 10,146,396.00 ",0.62%,2021%,0,9%,0%,0,5%,10%,103.37,0,12," 8,194,949.00 ",0.98%,1171%,0,7%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,11," 5,825,854.00 ",0.92%,164%,0,13%,0%,0,7%,10%,101.78
1809,Active,Defined Benefit,Pension Scheme,Segregated funds,5,4168," 11,991,101,275.00 ",0.81%,643%,4.02,12%,0%,1,5%,11%,134.8,1,3394," 10,674,527,120.00 ",0.87%,312%,3.17,7%,0%,1,7%,13%,151.77,1,3610," 9,551,160,568.00 ",0.88%,138%,3.26,0%,0%,1,9%,9%,121.95,5,3712," 9,390,443,863.00 ",0.70%,494%,4.28,15%,0%,1,6%,7%,111.93,0,3811," 7,686,655,944.00 ",0.94%,373%,0,7%,0%,0,5%,7%,109.51,0,3904," 6,745,037,619.00 ",1.65%,157%,0,7%,0%,0,5%,9%,102.55,0,4000," 6,450,258,237.00 ",1.82%,153%,0,14%,0%,0,6%,9%,101.88,0,4086," 6,018,615,530.00 ",1.06%,1115%,0,13%,0%,0,5%,10%,103.37,0,4186," 4,702,547,234.00 ",1.78%,724%,0,5%,0%,0,7%,10%,101.78,0,4250," 3,827,780,850.00 ",2.65%,687%,0,8%,0%,0,7%,13%,103.78,0,4334," 2,877,943,054.00 ",2.41%,497%,0,8%,0%,0,7%,10%,101.78
1810,Active,Defined Contribution,Pension Scheme,Segregated funds,5,13778," 10,163,923,937.00 ",0.58%,1445%,3.75,12%,0%,5,5%,11%,134.8,1,5759," 7,590,026,980.00 ",0.69%,1309%,2.94,6%,0%,1,7%,13%,151.77,1,5098," 5,883,190,705.00 ",0.93%,833%,2.43,0%,0%,1,9%,9%,121.95,1,4662," 5,046,886,399.00 ",0.79%,1696%,2.68,11%,0%,5,6%,7%,111.93,0,4658," 3,695,291,229.00 ",1.02%,1538%,0,6%,0%,0,5%,7%,109.51,0,4787," 2,723,972,514.00 ",0.85%,571%,0,8%,0%,0,5%,9%,102.55,0,4630," 1,634,015,412.00 ",0.58%,83%,0,1%,0%,0,6%,9%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Active,Defined Contribution,Pension Scheme,Segregated funds,1,50," 221,863,307.00 ",0.00%,45%,3.4,17%,0%,5,5%,11%,134.8,1,57," 70,324,431.00 ",0.00%,221%,2.57,-1%,0%,5,7%,13%,151.77,1,57," 64,963,991.00 ",0.00%,177%,2.57,0%,0%,1,9%,9%,121.95,1,61," 60,916,487.00 ",0.00%,164%,2.48,12%,0%,1,6%,7%,111.93,0,67," 55,803,158.00 ",0.00%,1202%,0,3%,0%,0,5%,7%,109.51,0,67," 49,682,764.00 ",0.00%,473%,0,15%,0%,0,5%,9%,102.55,0,0," 40,735,164.00 ",0.00%,146%,0,5%,0%,0,6%,9%,101.88,0,0," 38,935,615.00 ",0.00%,106%,0,17%,0%,0,5%,10%,103.37,0,0," 36,541,465.00 ",0.00%,132%,0,8%,0%,0,7%,10%,101.78,0,0," 33,942,133.00 ",0.00%,178%,0,-2%,0%,0,7%,13%,103.78,0,0," 30,795,393.00 ",0.00%,142%,0,14%,0%,0,7%,10%,101.78
1812,Active,Defined Contribution,Pension Scheme,Segregated funds,1,115," 9,353,140.00 ",2.78%,1223%,3.44,17%,0%,5,5%,11%,134.8,1,#N/A," 6,319,763.00 ",2.77%,534%,3.3,6%,0%,5,7%,13%,151.77,1,0," 4,103,396.00 ",11.72%,352%,3.3,8%,5%,1,9%,9%,121.95,1,67," 2,917,991.00 ",12.83%,119%,3.45,7%,0%,1,6%,7%,111.93,0,2," 2,720,468.00 ",5.92%,105%,0,8%,0%,0,5%,7%,109.51,0,5," 2,691,582.00 ",8.91%,411%,0,12%,0%,0,5%,9%,102.55,0,78," 1,553,242.00 ",8.68%,34%,0,20%,0%,0,6%,9%,101.88,0,73," 4,240,084.00 ",4.54%,39%,0,14%,0%,0,5%,10%,103.37,0,74," 6,024,305.00 ",4.11%,33%,0,3%,0%,0,7%,10%,101.78,0,91," 9,030,615.00 ",2.91%,157%,0,6%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1813,Active,Defined Contribution,Pension Scheme,Segregated funds,1,8124," 501,306,317.00 ",2.73%,214%,3.11,19%,0%,5,5%,11%,134.8,1,4968," 414,638,744.00 ",2.66%,138%,3,6%,0%,5,7%,13%,151.77,1,2449," 383,641,330.00 ",2.68%,174%,3,10%,0%,5,9%,9%,121.95,1,648," 351,588,363.00 ",2.13%,256%,3.3,10%,0%,5,6%,7%,111.93,0,537," 279,949,564.00 ",2.52%,159%,0,10%,0%,0,5%,7%,109.51,0,498," 241,119,315.00 ",2.54%,176%,0,12%,0%,0,5%,9%,102.55,0,446," 193,152,751.00 ",2.40%,237%,0,11%,0%,0,6%,9%,101.88,0,0," 156,473,128.00 ",3.16%,255%,0,12%,0%,0,5%,10%,103.37,0,410," 119,153,086.00 ",2.51%,199%,0,11%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,0," 88,421,606.00 ",1.86%,743%,0,13%,0%,0,7%,10%,101.78
1814,Active,Defined Contribution,Provident Fund,Segregated funds,1,283," 2,447,244,839.00 ",0.65%,350%,2.84,20%,0%,1,5%,11%,134.8,1,292," 1,936,416,367.00 ",0.68%,190%,2.04,4%,0%,1,7%,13%,151.77,1,300," 1,785,826,703.00 ",0.73%,154%,1.81,2%,0%,1,9%,9%,121.95,5,0," 1,697,404,444.00 ",0.84%,577%,3.15,11%,0%,1,6%,7%,111.93,0,211," 1,369,036,529.00 ",0.64%,363%,0,6%,0%,0,5%,7%,109.51,0,220," 1,158,996,403.00 ",0.77%,726%,0,15%,0%,0,5%,9%,102.55,0,290," 829,425,184.00 ",0.92%,565%,0,4%,0%,0,6%,9%,101.88,0,0," 691,324,369.00 ",0.96%,574%,0,14%,0%,0,5%,10%,103.37,0,172," 517,278,860.00 ",1.08%,736%,0,7%,0%,0,7%,10%,101.78,0,0," 391,832,979.00 ",0.77%,877%,0,4%,0%,0,7%,13%,103.78,0,0," 297,410,076.00 ",0.53%,773%,0,9%,0%,0,7%,10%,101.78
1815,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,147," 105,318,805.00 ",0.29%,140%,2.02,10%,0%,1,5%,11%,134.8,1,144," 100,412,360.00 ",0.27%,485%,2.26,9%,0%,5,7%,13%,151.77,1,120," 86,761,297.00 ",0.36%,140%,2.26,9%,0%,5,9%,9%,121.95,1,106," 81,605,528.00 ",0.49%,87%,2.64,10%,0%,5,6%,7%,111.93,0,122," 84,107,282.00 ",0.26%,155%,0,9%,0%,0,5%,7%,109.51,0,122," 78,110,208.00 ",0.28%,245%,0,9%,0%,0,5%,9%,102.55,0,74," 68,256,401.00 ",0.29%,209%,0,9%,0%,0,6%,9%,101.88,0,0," 59,631,991.00 ",0.43%,823%,0,8%,0%,0,5%,10%,103.37,0,104," 46,519,570.00 ",0.48%,1228%,0,6%,0%,0,7%,10%,101.78,0,78," 34,966,404.00 ",0.39%,288%,0,5%,0%,0,7%,13%,103.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1816,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,28," 192,517,984.00 ",0.39%,140%,2.84,11%,0%,1,5%,11%,134.8,1,36," 183,599,119.00 ",0.43%,339%,2.47,9%,0%,5,7%,13%,151.77,1,32," 163,378,938.00 ",0.45%,580%,3.27,6%,0%,5,9%,9%,121.95,1,36," 145,272,211.00 ",0.49%,117%,3.44,9%,1%,5,6%,7%,111.93,0,45," 141,588,766.00 ",0.51%,263%,0,7%,0%,0,5%,7%,109.51,0,55," 127,753,282.00 ",0.60%,132%,0,9%,1%,0,5%,9%,102.55,0,59," 120,886,564.00 ",0.68%,263%,0,7%,3%,0,6%,9%,101.88,0,62," 104,431,541.00 ",0.85%,195%,0,8%,0%,0,5%,10%,103.37,0,70," 91,338,356.00 ",0.97%,775%,0,4%,0%,0,7%,10%,101.78,0,66," 71,660,564.00 ",0.88%,506%,0,2%,0%,0,7%,13%,103.78,0,78," 56,952,859.00 ",0.91%,428%,0,6%,0%,0,7%,10%,101.78
1817,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,41," 148,075,860.00 ",0.28%,1164%,2.4,9%,0%,1,5%,11%,134.8,1,42," 125,026,280.00 ",0.45%,1593%,2.48,10%,0%,5,7%,13%,151.77,1,42," 102,738,819.00 ",0.49%,1748%,2.48,85%,0%,5,9%,9%,121.95,1,90," 87,436,329.00 ",0.46%,439%,2.72,9%,0%,5,6%,7%,111.93,0,90," 73,139,304.00 ",0.34%,5074%,0,9%,0%,0,5%,7%,109.51,0,95," 57,557,402.00 ",0.73%,300%,0,9%,0%,0,5%,9%,102.55,0,869," 235,273,579.00 ",0.21%,210%,0,4%,0%,0,6%,9%,101.88,0,0," 54,033,205.00 ",0.65%,224%,0,9%,0%,0,5%,10%,103.37,0,97," 47,646,174.00 ",0.72%,2121%,0,6%,0%,0,7%,10%,101.78,0,101," 37,699,713.00 ",0.35%,1098%,0,3%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1818,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,38," 106,063,052.00 ",0.22%,210%,3.04,9%,1%,1,5%,11%,134.8,1,38," 97,273,795.00 ",0.22%,2208%,2.56,10%,0%,5,7%,13%,151.77,1,39," 82,103,930.00 ",0.23%,316%,2.56,9%,0%,5,9%,9%,121.95,1,41," 73,545,816.00 ",0.23%,148%,2.72,9%,0%,5,6%,7%,111.93,0,39," 69,554,270.00 ",0.23%,141%,0,10%,0%,0,5%,7%,109.51,0,40," 66,235,051.00 ",0.33%,279%,0,10%,0%,0,5%,9%,102.55,0,27," 59,080,098.00 ",0.24%,62%,0,11%,0%,0,6%,9%,101.88,0,47," 65,446,580.00 ",0.51%,294%,0,10%,0%,0,5%,10%,103.37,0,42," 57,884,356.00 ",0.24%,454%,0,10%,1%,0,7%,10%,101.78,0,45," 49,655,458.00 ",0.61%,1398%,0,12%,0%,0,7%,13%,103.78,0,51," 39,496,954.00 ",0.26%,299%,0,13%,1%,0,7%,10%,101.78
1819,Active,Defined Contribution,Provident Fund,Guaranteed funds,,,,,,,,,,,,,1,1140," 305,096,710.00 ",0.25%,90%,2.46,0%,0%,5,7%,13%,151.77,1,725," 307,759,700.00 ",0.24%,117%,2.46,8%,0%,5,9%,9%,121.95,1,897," 299,642,653.00 ",0.30%,337%,2.72,8%,0%,5,6%,7%,111.93,0,817," 259,017,149.00 ",0.26%,252%,0,8%,0%,0,5%,7%,109.51,0,864," 223,590,637.00 ",0.25%,248%,0,7%,1%,0,5%,9%,102.55,0,869," 234,821,750.00 ",0.41%,207%,0,4%,2%,0,6%,9%,101.88,0,0," 198,540,082.00 ",0.28%,551%,0,8%,0%,0,5%,10%,103.37,0,689," 134,661,560.00 ",0.08%,305%,0,5%,0%,0,7%,10%,101.78,0,721," 110,861,763.00 ",0.14%,776%,0,4%,1%,0,7%,13%,103.78,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1820,Active,Defined Contribution,Pension Scheme,Segregated funds,5,955," 3,029,011,042.00 ",1.38%,244%,3.91,10%,0%,1,5%,11%,134.8,1,1059," 2,679,978,423.00 ",1.10%,164%,3.13,3%,0%,1,7%,13%,151.77,5,1066," 2,523,088,336.00 ",0.88%,234%,3.13,1%,0%,1,9%,9%,121.95,5,1078," 2,330,603,859.00 ",0.81%,419%,3.98,11%,0%,5,6%,7%,111.93,0,1195," 1,922,481,584.00 ",0.90%,173%,0,6%,0%,0,5%,7%,109.51,0,1180," 1,790,083,583.00 ",0.95%,184%,0,6%,0%,0,5%,9%,102.55,0,1191," 1,675,512,979.00 ",0.71%,375%,0,11%,0%,0,6%,9%,101.88,0,1173," 1,426,214,857.00 ",0.95%,555%,0,11%,0%,0,5%,10%,103.37,0,890," 1,166,001,940.00 ",1.32%,337%,0,6%,0%,0,7%,10%,101.78,0,905," 1,008,460,892.00 ",1.12%,410%,0,8%,0%,0,7%,13%,103.78,0,1012," 832,602,537.00 ",1.16%,1025%,0,9%,0%,0,7%,10%,101.78
1821,Active,Defined Contribution,Pension Scheme,Segregated funds,1,552," 1,296,392,895.00 ",1.06%,379%,3.02,11%,2%,5,5%,11%,134.8,1,565," 1,088,982,509.00 ",1.17%,279%,3,7%,0%,5,7%,13%,151.77,5,583," 956,485,163.00 ",1.51%,152%,3.94,-1%,0%,1,9%,9%,121.95,1,621," 914,633,131.00 ",1.14%,690%,3.48,14%,0%,1,6%,7%,111.93,0,647," 697,220,963.00 ",1.43%,527%,0,5%,0%,0,5%,7%,109.51,0,539," 572,656,478.00 ",1.09%,483%,0,8%,0%,0,5%,9%,102.55,0,561," 466,199,115.00 ",1.10%,433%,0,11%,0%,0,6%,9%,101.88,0,564," 365,346,408.00 ",1.06%,430%,0,13%,0%,0,5%,10%,103.37,,,,,,,,,,,,,0,264," 277,397,484.00 ",1.37%,430%,0,9%,0%,0,7%,13%,103.78,0,214," 240,411,108.00 ",1.31%,562%,0,9%,0%,0,7%,10%,101.78
1822,Active,Defined Contribution,Pension Scheme,Segregated funds,1,63," 970,613,494.00 ",0.75%,346%,2.86,13%,0%,5,5%,11%,134.8,1,78," 839,961,783.00 ",0.82%,199%,2.18,7%,0%,5,7%,13%,151.77,1,83," 780,367,786.00 ",0.83%,123%,2.13,5%,0%,1,9%,9%,121.95,1,81," 761,280,113.00 ",0.81%,355%,2.68,11%,0%,1,6%,7%,111.93,0,82," 658,184,530.00 ",0.80%,316%,0,8%,0%,0,5%,7%,109.51,0,83," 584,938,699.00 ",0.79%,440%,0,11%,0%,0,5%,9%,102.55,0,83," 491,352,950.00 ",0.84%,1196%,0,12%,0%,0,6%,9%,101.88,0,79," 382,917,981.00 ",0.87%,1471%,0,12%,0%,0,5%,10%,103.37,0,72," 291,404,444.00 ",0.87%,739%,0,5%,0%,0,7%,10%,101.78,0,73," 237,340,073.00 ",1.02%,496%,0,8%,0%,0,7%,13%,103.78,0,76," 184,466,760.00 ",0.99%,1477%,0,9%,0%,0,7%,10%,101.78
